,Target Window,Target Window,Target Window,Target Window,Target Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window,Opportunity Window
,Start Date,Start Time,End Date,End Time,Total Mins,Start Date,Start Time,End Date,End Time,Total Time
102,2024-02-11,09:41:13,2024-02-11,10:30:24,49.18333333333333,2024-02-11,09:41:13,2024-02-11,10:30:24,49.18333333333333
103,2024-02-12,09:37:17,2024-02-12,10:26:28,49.18333333333333,2024-02-12,09:37:17,2024-02-12,10:26:28,49.18333333333333
104,2024-02-13,09:33:21,2024-02-13,10:22:32,49.18333333333333,2024-02-13,09:33:21,2024-02-13,10:22:32,49.18333333333333
105,2024-02-14,09:29:25,2024-02-14,10:18:36,49.18333333333333,2024-02-14,09:29:25,2024-02-14,10:18:36,49.18333333333333
106,2024-02-15,09:25:29,2024-02-15,10:14:40,49.18333333333333,2024-02-15,09:25:29,2024-02-15,10:14:40,49.18333333333333
107,2024-02-16,09:21:33,2024-02-16,10:10:44,49.18333333333333,2024-02-16,09:21:33,2024-02-16,10:10:44,49.18333333333333
108,2024-02-17,09:17:37,2024-02-17,10:06:48,49.18333333333333,2024-02-17,09:33:26.563161,2024-02-17,10:06:48,33.35728065
109,2024-02-18,09:13:41,2024-02-18,10:02:53,49.2,2024-02-18,00:00:00,2024-02-18,00:00:00,0.0
110,2024-02-19,09:09:45,2024-02-19,09:58:57,49.2,2024-02-19,00:00:00,2024-02-19,00:00:00,0.0
111,2024-02-20,09:05:49,2024-02-20,09:55:01,49.2,2024-02-20,00:00:00,2024-02-20,00:00:00,0.0
112,2024-02-21,09:01:53,2024-02-21,09:51:05,49.2,2024-02-21,00:00:00,2024-02-21,00:00:00,0.0
113,2024-02-22,08:57:57,2024-02-22,09:47:09,49.2,2024-02-22,00:00:00,2024-02-22,00:00:00,0.0
114,2024-02-23,08:54:02,2024-02-23,09:43:13,49.18333333333333,2024-02-23,00:00:00,2024-02-23,00:00:00,0.0
