File Name, OpMode, Test Events, HLED Events, Forced Events
Merged_CoBo0_AsAd0_2025-09-24T06:55:56.479_0000.root, 1, 135, 17, 0
Merged_CoBo0_AsAd0_2025-09-24T06:57:56.479_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T06:59:56.060_0000.root, 1, 42, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:01:56.479_0000.root, 1, 53, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:03:56.479_0000.root, 1, 53, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T07:05:56.479_0000.root, 1, 48, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:07:56.479_0000.root, 1, 50, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:09:55.698_0000.root, 1, 34, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:11:56.196_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:13:56.480_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:15:56.419_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:17:55.743_0000.root, 1, 37, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:19:55.948_0000.root, 1, 49, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:21:56.109_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:23:56.480_0000.root, 1, 49, 95, 0
Merged_CoBo0_AsAd0_2025-09-24T07:25:56.480_0000.root, 1, 39, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:27:56.481_0000.root, 1, 64, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:29:56.081_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:31:56.480_0000.root, 1, 46, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:33:56.201_0000.root, 1, 44, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:35:56.552_0000.root, 1, 46, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:37:56.481_0000.root, 1, 49, 94, 0
Merged_CoBo0_AsAd0_2025-09-24T07:39:56.481_0000.root, 1, 107, 77, 0
Merged_CoBo0_AsAd0_2025-09-24T07:41:56.481_0000.root, 1, 130, 63, 0
Merged_CoBo0_AsAd0_2025-09-24T07:43:56.622_0000.root, 1, 55, 89, 0
Merged_CoBo0_AsAd0_2025-09-24T07:45:55.962_0000.root, 1, 46, 96, 0
Merged_CoBo0_AsAd0_2025-09-24T07:47:56.481_0000.root, 1, 51, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:49:55.618_0000.root, 1, 45, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:51:56.317_0000.root, 1, 40, 97, 0
Merged_CoBo0_AsAd0_2025-09-24T07:53:56.482_0000.root, 1, 39, 96, 0
