Operation Mode 1: Normal
File Name, Test Events, HLED Events, Forced Events, Avg Rounded Bias Voltage, Max Current
Merged_CoBo0_AsAd0_2025-09-24T09:07:56.485_0000.root, 40, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:09:55.925_0000.root, 47, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:11:56.486_0000.root, 43, 96, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:13:56.485_0000.root, 46, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:15:56.485_0000.root, 48, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:17:56.486_0000.root, 31, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:19:55.680_0000.root, 49, 97, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:21:56.486_0000.root, 45, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:23:56.486_0000.root, 30, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:25:56.486_0000.root, 25, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:27:56.486_0000.root, 47, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:29:55.796_0000.root, 43, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:31:56.487_0000.root, 42, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:33:55.829_0000.root, 35, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:35:56.236_0000.root, 35, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:37:55.895_0000.root, 41, 97, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:39:56.487_0000.root, 1207, 50, 0, 44.0, 6.2
Merged_CoBo0_AsAd0_2025-09-24T09:41:55.498_0000.root, 602, 4, 0, 44.0, 6.3
Merged_CoBo0_AsAd0_2025-09-24T09:43:55.748_0000.root, 1417, 37, 0, 44.0, 6.4
Merged_CoBo0_AsAd0_2025-09-24T09:45:56.487_0000.root, 124, 76, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T09:47:55.819_0000.root, 173, 0, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T09:49:56.487_0000.root, 43, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T09:51:56.298_0000.root, 39, 97, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T09:53:56.488_0000.root, 37, 96, 0, 44.0, 6.1
Merged_CoBo0_AsAd0_2025-09-24T09:55:56.488_0000.root, 49, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T09:57:55.872_0000.root, 51, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T09:59:56.487_0000.root, 43, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:01:56.488_0000.root, 46, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:03:56.488_0000.root, 39, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:05:56.489_0000.root, 29, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:07:56.488_0000.root, 53, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:09:55.566_0000.root, 49, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:11:55.898_0000.root, 31, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:13:56.482_0000.root, 32, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:15:56.489_0000.root, 37, 97, 0, 44.0, 6.0
Merged_CoBo0_AsAd0_2025-09-24T10:17:56.190_0000.root, 30, 97, 0, 44.0, 6.0
