#Pixel #Amplitude(ADC/pe) #ErrAmplitude(ADC/pe) #Charge(ADC/pe) #ErrCharge(ADC/pe)
364 9.05981 0.177509 26.5422 0.518238
365 8.88432 0.181774 26.0266 0.530817
366 8.87141 0.177086 25.9895 0.519312
367 8.94607 0.190276 26.2137 0.551597
368 9.59873 0.178001 28.195 0.521108
369 9.68191 0.182654 28.473 0.532706
370 9.50859 0.18047 27.9411 0.527594
371 9.57601 0.164813 28.1834 0.487599
372 9.68446 0.164443 28.4956 0.482173
373 9.58847 0.176368 28.1581 0.515811
374 9.84616 0.170216 28.9705 0.50747
375 9.68501 0.169484 28.4729 0.493682
376 9.06611 0.193257 26.7027 0.557186
377 8.84762 0.181074 26.0395 0.521684
378 9.08774 0.208105 26.7032 0.597877
379 7.92952 0.144762 23.2357 0.418104
380 9.02026 0.182759 26.5728 0.526671
381 9.09735 0.190477 26.7909 0.550351
382 9.17421 0.192702 27.052 0.55851
383 8.96029 0.155829 26.3732 0.44958
384 9.66392 0.209252 28.1255 0.604947
385 9.86004 0.220591 28.6643 0.635829
386 9.6258 0.226101 27.8505 0.642953
387 9.53335 0.223101 27.5485 0.627351
388 10.0046 0.223818 29.2214 0.641122
389 10.1602 0.222759 29.7422 0.644149
390 10.006 0.215114 29.3449 0.614059
391 10.0859 0.199137 29.708 0.574753
392 10.126 0.167631 29.4889 0.523771
393 10.1059 0.106864 29.964 0.441528
394 10.2818 0.154671 30.262 0.544075
395 10.1947 0.170784 29.8191 0.549923
396 10.2595 0.127182 30.378 0.495392
397 10.3244 0.151886 30.3888 0.533128
398 10.1634 0.104817 30.1507 0.43585
399 10.2848 0.147781 30.3625 0.52493
400 9.59789 0.170666 28.1136 0.492459
401 9.78942 0.183741 28.7295 0.544907
402 9.87287 0.180617 29.0114 0.536001
403 9.87333 0.171761 29.0804 0.511842
404 9.75273 0.1805 28.4611 0.523234
405 9.78263 0.199987 28.5001 0.578678
406 9.47319 0.16136 27.5648 0.451151
407 9.32354 0.159267 27.515 0.522271
408 10.1753 0.117382 29.9459 0.445992
409 10.0331 0.0707903 29.7472 0.34708
410 10.1018 0.0614548 29.9382 0.314712
411 10.1634 0.0921606 29.9403 0.378941
412 9.98953 0.134385 29.2154 0.462418
413 10.1317 0.0844945 30.0124 0.406472
414 10.1424 0.131153 29.8161 0.464939
415 10.0335 0.115117 29.4921 0.443788
416 9.50813 0.228164 27.9759 0.663738
417 9.41199 0.222154 27.6711 0.650512
418 9.07023 0.219466 26.6123 0.638533
419 8.7976 0.191408 25.7772 0.554592
420 9.15339 0.199534 26.9544 0.579896
421 9.45875 0.207914 27.8786 0.60496
422 9.71081 0.177263 28.6774 0.516228
423 9.92656 0.175793 29.3043 0.509865
424 9.93733 0.185605 29.1457 0.547961
425 9.93561 0.214539 29.1196 0.629834
426 9.77479 0.197964 28.7058 0.581764
427 9.91522 0.178552 29.1772 0.533693
428 10.0468 0.142332 29.6628 0.463895
429 9.34483 0.143097 27.5612 0.440945
430 9.8522 0.109096 28.8642 0.285626
431 9.90088 0.142984 28.9798 0.426091
432 9.24899 0.17726 27.2231 0.507289
433 9.60775 0.182114 28.2939 0.522503
434 9.59894 0.167811 28.2773 0.479593
435 9.73583 0.161832 28.7064 0.464995
436 9.38374 0.171172 27.5613 0.485996
437 9.17473 0.1644 27.003 0.475746
438 9.44278 0.192066 27.7449 0.55147
439 9.2561 0.188628 27.2002 0.539462
440 9.89987 0.174585 29.0666 0.50908
441 9.97161 0.176143 29.2102 0.507515
442 10.1499 0.162853 29.8129 0.48644
443 10.1431 0.158766 29.7643 0.470118
444 9.8287 0.189866 28.8364 0.544203
445 9.73133 0.171144 28.5386 0.492506
446 9.72494 0.172863 28.5562 0.503579
447 9.63374 0.174872 28.2263 0.505314
448 10 0.5 27.5 1.375
449 9.12271 0.234491 26.7945 0.677338
450 8.79725 0.232113 25.717 0.679214
451 8.63956 0.213304 25.2131 0.625026
452 8.94471 0.211268 26.3516 0.620793
453 9.17636 0.233977 27.0905 0.690679
454 9.29222 0.235191 27.4626 0.690004
455 9.11078 0.230302 26.9306 0.665918
456 9.26508 0.217308 27.0179 0.627717
457 9.28768 0.213095 27.1224 0.626308
458 9.4485 0.21185 27.5898 0.618416
459 9.42577 0.217953 27.5123 0.642989
460 9.39326 0.220934 27.3798 0.642906
461 9.48506 0.218863 27.6569 0.637876
462 9.14701 0.188557 26.6958 0.552288
463 9.52363 0.203709 27.8172 0.600454
464 9.00284 0.23933 26.434 0.700379
465 8.56113 0.222801 25.1715 0.644374
466 8.88188 0.236669 26.1576 0.68234
467 8.569 0.213698 25.3242 0.611399
468 8.64405 0.207739 25.3374 0.606804
469 8.77123 0.254125 25.6184 0.730825
470 9.11997 0.246 26.6541 0.729354
471 8.72575 0.218232 25.5373 0.646688
472 9.30221 0.210838 27.154 0.615507
